hypothesis,role,outcome,focal,method,coef,se,df,t,p_value,ci_low,ci_high,N,G
H5 SW_delta x BIG_it,secondary_boundary,CI,DxBIG,cluster,-0.002578484039653403,0.0008875678279287418,25.0,-2.9051121035680625,0.007575195075920855,-0.004406464199456148,-0.0007505038798506576,271,26
H5 SW_delta x BIG_it,secondary_boundary,CI,DxBIG,cluster_hc1,-0.002578484039653403,0.0009893407188183178,25.0,-2.6062649505957665,0.015206313950995231,-0.004616069391868385,-0.0005408986874384215,271,26
H5 SW_delta x BIG_it,secondary_boundary,CI,DxBIG,cr2,-0.002578484039653403,0.0010990251135600884,7.307845818478575,-2.346155704577925,0.04988193408387191,-0.005155236806911127,-1.7312723956794049e-06,271,26
H5 SW_delta x BIG_it,secondary_boundary,CI,DxBIG,wild_cluster_rademacher_null,-0.002578484039653403,,,,0.013,,,271,26
H5 SW_delta x BIG_fixed_mean,robustness,CI,DxBIGfm,conventional,-0.003940462963158781,0.0018045781897205895,25.0,-2.1835922575174753,0.03858843672569528,-0.007657061316346083,-0.0002238646099714781,271,26
H5 SW_delta x BIG_fixed_mean,robustness,CI,DxBIGfm,cluster,-0.003940462963158781,0.0015943481208105395,25.0,-2.4715198090838006,0.02061724123515632,-0.007224084384477853,-0.0006568415418397081,271,26
H5 SW_delta x BIG_fixed_mean,robustness,CI,DxBIGfm,cluster_hc1,-0.003940462963158781,0.0017732451364152952,25.0,-2.2221761008884684,0.03555090782116972,-0.007592529685088355,-0.0002883962412292061,271,26
H5 SW_delta x BIG_fixed_mean,robustness,CI,DxBIGfm,cr2,-0.003940462963158781,0.0020237007815594576,7.078556210151396,-1.947156911271375,0.09209465869854556,-0.008715010367760435,0.0008340844414428733,271,26
H5 SW_delta x BIG_fixed_mean,robustness,CI,DxBIGfm,wild_cluster_rademacher_null,-0.003940462963158781,,,,0.022,,,271,26
H5 SW_delta x BIG_2015,robustness,CI,DxBIGf15,conventional,-0.005499515654616154,0.0014362991155240173,25.0,-3.828948716305321,0.000767731015711201,-0.008457629056323326,-0.0025414022529089827,271,26
H5 SW_delta x BIG_2015,robustness,CI,DxBIGf15,cluster,-0.005499515654616154,0.0016526398962105435,25.0,-3.327715654950838,0.0027126607958175594,-0.008903191234679971,-0.002095840074552337,271,26
H5 SW_delta x BIG_2015,robustness,CI,DxBIGf15,cluster_hc1,-0.005499515654616154,0.0018380776569118355,25.0,-2.9919930934016796,0.006155412701244594,-0.009285107451980521,-0.001713923857251786,271,26
H5 SW_delta x BIG_2015,robustness,CI,DxBIGf15,cr2,-0.005499515654616154,0.002105309052473513,7.956093128405893,-2.612212989895622,0.031167239321151903,-0.010359034535807037,-0.0006399967734252712,271,26
H5 SW_delta x BIG_2015,robustness,CI,DxBIGf15,wild_cluster_rademacher_null,-0.005499515654616154,,,,0.013,,,271,26
H5 SW_delta x continuous lnTA,robustness,CI,FIxlnTA,conventional,-0.0016412178751695292,0.0003100601434655476,25.0,-5.293224265542834,1.7484895225168817e-05,-0.002279798694309042,-0.0010026370560300166,271,26
H5 SW_delta x continuous lnTA,robustness,CI,FIxlnTA,cluster,-0.0016412178751695292,0.00042438817037738965,25.0,-3.8672564169497625,0.0006961713637835122,-0.0025152616733941967,-0.0007671740769448617,271,26
H5 SW_delta x continuous lnTA,robustness,CI,FIxlnTA,cluster_hc1,-0.0016412178751695292,0.00047200749274964565,25.0,-3.477101318050552,0.0018697707360869522,-0.0026133355036758454,-0.000669100246663213,271,26
H5 SW_delta x continuous lnTA,robustness,CI,FIxlnTA,cr2,-0.0016412178751695292,0.0004996479573524848,12.718936526207951,-3.2847484934511706,0.006076159769391167,-0.0027230714265419867,-0.0005593643237970717,271,26
H5 SW_delta x continuous lnTA,robustness,CI,FIxlnTA,wild_cluster_rademacher_null,-0.0016412178751695292,,,,0.001,,,271,26
H5 CASA x BIG_it,benchmark_boundary,CI,DxBIG,conventional,-0.001141816385182736,0.0005579196925769184,25.0,-2.0465604644799624,0.05135256579889314,-0.002290873501385165,7.240731019693284e-06,273,26
H5 CASA x BIG_it,benchmark_boundary,CI,DxBIG,cluster,-0.001141816385182736,0.0006288370165861325,25.0,-1.815758861304788,0.08142069193211711,-0.0024369304642402386,0.0001532976938747666,273,26
H5 CASA x BIG_it,benchmark_boundary,CI,DxBIG,cluster_hc1,-0.001141816385182736,0.0007004413828398864,25.0,-1.6301383858179939,0.1156087623103108,-0.0025844024170853116,0.0003007696467198398,273,26
H5 CASA x BIG_it,benchmark_boundary,CI,DxBIG,cr2,-0.001141816385182736,0.000743025949308986,21.220554568917493,-1.5367113170739526,0.139141505183135,-0.0026860461287452285,0.00040241335837975676,273,26
H5 CASA x BIG_it,benchmark_boundary,CI,DxBIG,wild_cluster_rademacher_null,-0.001141816385182736,,,,0.119,,,273,26
H5 CASA x BIG_fixed_mean,robustness,CI,DxBIGfm,conventional,-0.0005066704470785652,0.0007980074418296463,25.0,-0.6349194512733957,0.5312493979912383,-0.0021501975389107532,0.001136856644753623,273,26
H5 CASA x BIG_fixed_mean,robustness,CI,DxBIGfm,cluster,-0.0005066704470785652,0.0006190721509770347,25.0,-0.8184352119198475,0.4208418278385627,-0.001781673408951676,0.0007683325147945456,273,26
H5 CASA x BIG_fixed_mean,robustness,CI,DxBIGfm,cluster_hc1,-0.0005066704470785652,0.0006880573653894424,25.0,-0.7363782041513186,0.468354648311762,-0.001923751117603982,0.0009104102234468515,273,26
H5 CASA x BIG_fixed_mean,robustness,CI,DxBIGfm,cr2,-0.0005066704470785652,0.0007176524022595967,18.557070756084695,-0.7060109399526362,0.4889509321794503,-0.002011164439844038,0.0009978235456869077,273,26
H5 CASA x BIG_fixed_mean,robustness,CI,DxBIGfm,wild_cluster_rademacher_null,-0.0005066704470785652,,,,0.442,,,273,26
H5 CASA x BIG_2015,robustness,CI,DxBIGf15,conventional,-0.0009802700290427648,0.0007901139575958324,25.0,-1.2406691713503473,0.22624535405463947,-0.002607540185779863,0.0006470001276943334,273,26
H5 CASA x BIG_2015,robustness,CI,DxBIGf15,cluster,-0.0009802700290427648,0.0006675017702407519,25.0,-1.4685654371960766,0.1544218777792025,-0.002355015658884665,0.0003944756007991351,273,26
H5 CASA x BIG_2015,robustness,CI,DxBIGf15,cluster_hc1,-0.0009802700290427648,0.0007418836539485656,25.0,-1.321325822216763,0.1983588158260663,-0.0025082080160073192,0.0005476679579217896,273,26
H5 CASA x BIG_2015,robustness,CI,DxBIGf15,cr2,-0.0009802700290427648,0.0007920701614490135,13.301698545700255,-1.237605046564888,0.23726407379291975,-0.00268749665741731,0.0007269565993317806,273,26
H5 CASA x BIG_2015,robustness,CI,DxBIGf15,wild_cluster_rademacher_null,-0.0009802700290427648,,,,0.114,,,273,26
H5 CASA x continuous lnTA,robustness,CI,FIxlnTA,conventional,-0.0004483542420700663,0.00021046148016375484,25.0,-2.130338728594007,0.04316481923037929,-0.0008818077743368421,-1.4900709803290508e-05,273,26
H5 CASA x continuous lnTA,robustness,CI,FIxlnTA,cluster,-0.0004483542420700663,0.00020719020645588917,25.0,-2.163974107364582,0.04022092446864881,-0.0008750704600188845,-2.1638024121248115e-05,273,26
H5 CASA x continuous lnTA,robustness,CI,FIxlnTA,cluster_hc1,-0.0004483542420700663,0.00023027808206772677,25.0,-1.9470122299272992,0.06285096600674707,-0.0009226208299426366,2.5912345802503987e-05,273,26
H5 CASA x continuous lnTA,robustness,CI,FIxlnTA,cr2,-0.0004483542420700663,0.0002490791241122524,12.336501818669175,-1.8000474494522738,0.09633931240734707,-0.000989413769611213,9.270528547108042e-05,273,26
H5 CASA x continuous lnTA,robustness,CI,FIxlnTA,wild_cluster_rademacher_null,-0.0004483542420700663,,,,0.056,,,273,26
