Mã,year,opex,dd,td,ta,eq,gl,n3,n4,n5,ie,CI,CASA,lnTA,eq_ratio,loan_ratio,dep_depth,NPL_ratio,cost_dep,SOE,branch_count_legacy,branch_den_legacy,SW_stock,SW_delta,Land_stock,Land_delta,staff,phys,StaffRatio,PhysCost,fee_income,network_count_harmonized,branch_count,branch_den,CI_raw,Staff_raw,AssetCost_raw,Other_raw,NonAsset_raw,NonAssetMinusAsset_raw,AssetCostShare_raw,NonAssetShare_raw,AssetCostShare_ex_sw_raw,SW_khauhao_vnd
OCB,2022,3076802357805.0,10809453049274.0,102203189310223.0,193994237850692.0,25272239382832.0,119802569762625.0,670539465956.0,625718716589.0,1365228611553.0,7120149043887.0,0.0158602770468526,0.1057643418197397,32.898849572750215,0.1302731445161934,0.6175573619605715,0.526836211438836,2.2215606888662154,0.0696666032825533,0,148.0,76.29092577167599,402758.0,56410.0,153109.0,17759.0,2030006109354.0,411791512218.0,0.659777871075935,0.7936153634886011,1014174306465.0,148.0,148.0,76.29092577167599,0.01586027704685263,0.010464259824646945,0.002122699708920922,0.003273317513284762,0.013737577337931706,0.011614877629010784,0.13383749241266615,0.8661625075873338,0.1212039217507759,38871000000.0
OCB,2023,3171425038560.0,15029688541614.0,125945932418559.0,240114274727459.0,28535703470870.0,147206466215571.0,967259763141.0,1255638819170.0,1680979063991.0,11361222432425.0,0.013207982083363,0.119334449735665,33.11213607064737,0.1188421783888499,0.6130683666460782,0.524524968628015,2.651974296146144,0.0902071405900429,0,158.0,65.80200205895191,426898.0,24140.0,154536.0,1427.0,1939838578351.0,496478499699.0,0.6116614943646256,0.7682089434332715,882062943945.0,158.0,158.0,65.80200205895191,0.013207982083363084,0.008078814058651065,0.0020676759024948702,0.0030614921222171486,0.011140306180868214,0.009072630278373343,0.15654744906864593,0.8434525509313541,0.14232324403415364,45111000000.0
OCB,2024,3803760652156.0,20520449982806.0,142459763487912.0,276486854526261.0,31671045433324.0,170844469638663.0,1075776805310.0,1710943603143.0,2621403037774.0,9347544341743.0,0.0137574737817949,0.1440438302043594,33.25318439336026,0.1145481056869409,0.6179117265136959,0.5152496806114195,3.1655244431764227,0.0656153296403314,0,175.0,63.29414839625886,497805.0,70907.0,139550.0,-14986.0,2261241024089.0,593656100410.0,0.5944751078928459,0.7505459427056281,930981459789.0,175.0,175.0,63.29414839625886,0.013757473781794986,0.008178475710765572,0.002147140418039708,0.0034318576529897052,0.011610333363755278,0.00946319294571557,0.15607083481278225,0.8439291651872178,0.14251188494279848,51575000000.0
OCB,2025,4202555569391.0,14828557948068.0,150029644383127.0,322949479567113.0,33924677884591.0,198764945826810.0,797210239597.0,1715658267794.0,3832608212238.0,11869499472499.0,0.0130130433249936,0.0988375198050905,33.408517016908945,0.1050463927982302,0.6154676146041106,0.4645607250528141,3.1924526194664167,0.0791143611737701,0,175.0,54.18804211561913,541634.0,43829.0,252348.0,112798.0,2429677188704.0,631540596140.0,0.5781427868319868,0.7284181575468393,1010599873776.0,175.0,175.0,54.18804211561913,0.013013043324993671,0.007523397133077226,0.001955539909791859,0.0035341062821245862,0.011057503415201812,0.009101963505409953,0.15027537071485236,0.8497246292851476,0.138435670042623,49757000000.0
PCB,2015,1520347000000.0,,64720010000000.0,98605445000000.0,9744250000000.0,40169725000000.0,,,,4189055000000.0,0.0154184893136479,,32.22214759913613,0.0988206077260743,0.4073783653630892,0.6563533078726028,,0.0647258089113397,0,110.0,111.55570567122332,,,,,,,,,64948000000.0,110.0,110.0,111.55570567122332,0.015418489313647943,,,,,,,,,1000000.0
PCB,2016,1584790000000.0,,83483264000000.0,114082903000000.0,10042077000000.0,50225797000000.0,,,,4774903000000.0,0.0138915644529136,,32.367946519325464,0.0880243817077481,0.4402570032776953,0.7317771708526737,,0.057195930911374,0,115.0,100.8038864508909,,,,,,,,,28181000000.0,115.0,115.0,100.8038864508909,0.013891564452913684,,,,,,,,,1000000.0
PCB,2017,1622568000000.0,3811313000000.0,88689672000000.0,126537416000000.0,10131197000000.0,59148603000000.0,131101000000.0,252848000000.0,643715000000.0,5686641000000.0,0.0128228317859754,0.0429735832149655,32.47155915901837,0.080064832365472,0.4674396306622856,0.7008968161638451,1.7374273404225624,0.0641184127955733,0,115.0,90.88220989118348,,,,,716188000000.0,358088000000.0,0.44139167048777,0.6620838078897155,75402000000.0,115.0,115.0,90.88220989118349,0.012822831785975462,0.005659891142395385,0.0028298981543925317,0.004333042489187545,0.00999293363158293,0.007163035477190399,0.22069213740194557,0.7793078625980545,0.22069152109495566,1000000.0
PCB,2018,1842257000000.0,6228057000000.0,102915585000000.0,140545390000000.0,10217746000000.0,69954815000000.0,739829000000.0,306633000000.0,678046000000.0,7062946000000.0,0.0131079148167008,0.0605161696355318,32.57655161302776,0.0727006840992792,0.4977382395822445,0.7322587030424833,2.4651741270418626,0.0686285366788713,0,108.0,76.84350230199654,168974.0,6275.0,,,851758000000.0,385012000000.0,0.4623448302815514,0.6713341298201065,85837000000.0,108.0,108.0,76.84350230199654,0.013107914816700855,0.006060376651272589,0.00273941393595336,0.004308124229474906,0.010368500880747495,0.0076290869447941355,0.20898929953855513,0.791010700461445,0.20898875672612452,1000000.0
PCB,2019,2106759000000.0,4950681000000.0,113854406000000.0,164195791000000.0,10425857000000.0,78876784000000.0,517506000000.0,626444000000.0,921921000000.0,8106851000000.0,0.0128307734757951,0.0434825596472744,32.732080679244405,0.0634964936464175,0.4803824965281844,0.6934063614334669,2.619111600696093,0.0712036651440612,0,108.0,65.7751330544155,213282.0,44308.0,,,938302000000.0,377929000000.0,0.445376998508135,0.6247658132705259,183999000000.0,108.0,108.0,65.7751330544155,0.012830773475795126,0.005714531379187424,0.0023016972463076107,0.004814544850300091,0.010529076229487514,0.008227378983179903,0.17938881476239094,0.820611185237609,0.1793883400996507,1000000.0
PCB,2020,2341647000000.0,7414249000000.0,145248877000000.0,181393673000000.0,10499359000000.0,84647622000000.0,750092000000.0,718935000000.0,1157720000000.0,9583676000000.0,0.0129091988781769,0.0510451382009652,32.83169077428025,0.0578816164111743,0.4666514581244518,0.8007383862831864,3.10315510103757,0.0659810677916635,0,108.0,59.539011594963405,239963.0,26681.0,,,1110556000000.0,377279000000.0,0.4742627731677746,0.6353797135093376,232942000000.0,108.0,108.0,59.539011594963405,0.012909198878176969,0.006122352459338535,0.002079890625512611,0.004706955793325822,0.010829308252664357,0.008749417627151746,0.16111694034156301,0.8388830596584369,0.16111651329171306,1000000.0
PCB,2021,2835180000000.0,10901087000000.0,149634428000000.0,191914842000000.0,10580452000000.0,88912644000000.0,869552000000.0,681550000000.0,1551120000000.0,10490474000000.0,0.0147731148380905,0.0728514630336275,32.88807285831725,0.055130973142765,0.4632921720561873,0.7796917968439356,3.489067314205615,0.0701073552404664,0,108.0,56.27495970322087,284861.0,44898.0,,,1334783000000.0,464460000000.0,0.4707930360682567,0.6346133226109101,287718000000.0,108.0,108.0,56.27495970322087,0.014773114838090531,0.006955079586809654,0.0024201359059035153,0.0053978993453773615,0.012352978932187016,0.0099328430262835,0.16382028654265338,0.8361797134573465,0.1638199338313617,1000000.0
