sample_mode,predictor,label,domain,test,outcome,coef,se_CR2,t,p_CR2,N,G,note
native,SW_delta,Software net change,Cost reconfiguration,H4 AssetCost component,AssetCost_raw,0.00020908494548226204,4.018161161390626e-05,5.203498244204342,2.2032496731249207e-05,270,26,
native,SW_delta,Software net change,Cost reconfiguration,H4 Other component,Other_raw,0.00048541756797901997,0.00015512364044961748,3.1292301197423127,0.004417211761264033,270,26,
native,SW_delta,Software net change,Physical network,ln(network count),lnNetwork,-0.05528023222810943,0.01621841446923186,-3.4084856033851025,0.0022193957800453108,271,26,
native,SW_delta,Software net change,Physical network,network/TA intensity,NetworkIntensity,0.057701973940714746,3.1158070555135806,0.018519110109404283,0.9853717433910782,271,26,
native,SW_delta,Software net change,Scale,BIG bank-year interaction,CI,-0.00257848403965332,0.0010990251135598482,-2.346155704578362,0.027199867460440043,271,26,
native,SW_delta,Software net change,Scale,Small-bank slope,CI,0.0030569901484794903,0.0011306783869817272,2.7036778837171616,0.012154295242634564,271,26,
native,SW_delta,Software net change,Scale,Large-bank slope,CI,0.00047850610882617037,0.0003599832682045794,1.3292454152458946,0.1957708046957898,271,26,
native,SW_delta,Software net change,Scale,BIG fixed mean,CI,-0.003940462963159109,0.0020237007815595413,-1.9471569112714566,0.06283273267422601,271,26,
native,SW_delta,Software net change,Scale,BIG fixed 2015,CI,-0.005499515654616049,0.0021053090524736275,-2.6122129898954296,0.015001103539178655,271,26,
native,SW_delta,Software net change,Scale,Continuous lnTA interaction,CI,-0.0016412178751695193,0.0004996479573525302,-3.284748493450852,0.0030167556173513977,271,26,
native,SW_stock,Software stock,Baseline,CI baseline,CI,-0.0006088349012391585,0.0005222845610728911,-1.1657149121706247,0.2547313392338585,271,26,Accumulated software value / digital capital
native,SW_stock,Software stock,Temporal,X × Post2020,CI,-0.003000582926517842,0.0016318483953306339,-1.838763291433016,0.07785885044848914,271,26,
native,SW_stock,Software stock,Temporal,Pre-2020 slope,CI,0.0028040756288898404,0.0015133801352965248,1.8528561089778166,0.07574394248754787,271,26,
native,SW_stock,Software stock,Temporal,Post-2020 slope,CI,-0.00019650729762800152,0.0003800281151038785,-0.5170862097250025,0.6096408803550567,271,26,
native,SW_stock,Software stock,Cost reconfiguration,H4 absolute contrast,NonAssetMinusAsset_raw,-0.0009803346197790178,0.0003705629328994043,-2.6455280135780512,0.013898744552619339,270,26,
native,SW_stock,Software stock,Cost reconfiguration,H4 direct composition share,AssetCostShare_raw,0.01801851150259856,0.005887323909294222,3.060560584097136,0.00521807053335539,270,26,
native,SW_stock,Software stock,Cost reconfiguration,H4 Staff component,Staff_raw,-0.0009416979917110245,0.0002895029358824139,-3.25280981638649,0.00326389024438538,270,26,
native,SW_stock,Software stock,Cost reconfiguration,H4 AssetCost component,AssetCost_raw,0.000173455664758903,0.0001227390974387362,1.4132062918702935,0.1699256916503393,270,26,
native,SW_stock,Software stock,Cost reconfiguration,H4 Other component,Other_raw,0.00013481903669090972,0.0002543675542315921,0.5300166410695684,0.6007765940296365,270,26,
native,SW_stock,Software stock,Physical network,ln(network count),lnNetwork,-0.07453772732599123,0.024714838173714653,-3.0159099890552983,0.005811530362291956,271,26,
native,SW_stock,Software stock,Physical network,network/TA intensity,NetworkIntensity,2.840128131390722,4.339933576823172,0.6544174193259643,0.5188185792006195,271,26,
native,SW_stock,Software stock,Scale,BIG bank-year interaction,CI,-0.008353012482209096,0.0035142321861600235,-2.376909674638309,0.02542700049921581,271,26,
native,SW_stock,Software stock,Scale,Small-bank slope,CI,0.008044482428094695,0.0035950166605682164,2.237675979733349,0.03439280097901399,271,26,
native,SW_stock,Software stock,Scale,Large-bank slope,CI,-0.00030853005411440003,0.0004466355870556249,-0.6907869929226554,0.49606382828385553,271,26,
native,SW_stock,Software stock,Scale,BIG fixed mean,CI,-0.0019061765738291733,0.0043719062902693555,-0.43600581697548985,0.6665744130245681,271,26,
native,SW_stock,Software stock,Scale,BIG fixed 2015,CI,-0.002878949428287066,0.0022224364886691507,-1.2954023401636334,0.2070159991565524,271,26,
native,SW_stock,Software stock,Scale,Continuous lnTA interaction,CI,-0.0029021987269191073,0.0009563208828900116,-3.0347541069568957,0.0055535947184770324,271,26,
common3,CASA,CASA,Baseline,CI baseline,CI,0.0016266569712588847,0.00040718285067515853,3.994905405671408,0.0005019681637082046,268,26,Franchise / transactional deposit structure
